repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions,gate_value
0,0,792,198,rf,0.8669386200114649,0.31559716503989893,0.5617803530205546,0.4001810606060606,2.3319800000000024,0,
0,0,792,198,gbr,0.8377326617803283,0.38486833614014315,0.620377575465251,0.4532592774468159,2.6275387865866806,0,
0,0,792,198,svr,0.808728642029756,0.4536605462376978,0.6735432771824672,0.4628632880018644,3.057965894457941,0,
0,0,792,198,mlp,0.870044394278999,0.3082308386559994,0.5551854092607256,0.3828736464519693,2.0122751617431645,1,
0,0,792,198,pinn,0.8412870046729448,0.376438087328759,0.6135455055077488,0.41559684657689294,2.4960312767028805,1,
0,0,792,198,hybrid_gated,0.8018141197773363,0.4700605236064653,0.6856095999958469,0.48249599139858973,3.002132831573486,7,0.07507182657718658
0,0,792,198,hybrid_ungated,0.8352142858552793,0.39084146149416166,0.6251731452119178,0.41496874823233093,3.0172622127532955,2,
0,0,792,198,stack_ridge,0.8923537159540282,0.25531722333644513,0.5052892472004972,0.35318126428932334,2.0261136234533206,0,
0,0,792,198,stack_nnls,0.892954993668722,0.2538911029837524,0.503876078995374,0.352531531069588,2.0224204749326224,0,
0,1,792,198,rf,0.8642528189305088,0.3507543885212121,0.5922452097916978,0.4193735353535354,1.8681400000000008,0,
0,1,792,198,gbr,0.8695106740217726,0.3371687233682443,0.5806623144033409,0.43729130125403426,1.869937101187782,0,
0,1,792,198,svr,0.7817216237026916,0.5640050703253424,0.7510027099320896,0.5001522527508868,3.833101420225031,0,
0,1,792,198,mlp,0.8787818802895471,0.3132130414919293,0.5596543946865148,0.3484478862911764,3.4179995689392086,1,
0,1,792,198,pinn,0.8780749013476145,0.31503979004406313,0.5612840546853822,0.3705095457464757,2.4976921710968014,0,
0,1,792,198,hybrid_gated,0.8211979001574711,0.46200312008298544,0.6797081138863839,0.44825746289407364,3.522018733978271,6,0.07682139426469803
0,1,792,198,hybrid_ungated,0.8759761509955448,0.3204627085208894,0.5660942576293186,0.3922048226342057,3.1127768192291256,2,
0,1,792,198,stack_ridge,0.9050721605651663,0.2452821193948766,0.4952596484621744,0.34591848826677296,1.9560555595408382,0,
0,1,792,198,stack_nnls,0.9001529519670576,0.25799276274116184,0.5079298797483387,0.35298718677353635,2.1954852431638052,0,
0,2,792,198,rf,0.8332184421792148,0.3871819545904039,0.6222394672394254,0.4261028787878788,3.034379999999998,0,
0,2,792,198,gbr,0.8327150373184126,0.38835060465281185,0.6231778274720723,0.44286696015355437,2.997729308610647,0,
0,2,792,198,svr,0.7730386703208816,0.5268887782906094,0.7258710479765738,0.46944901728089156,3.8227806678666036,0,
0,2,792,198,mlp,0.8449210469157415,0.36001445816639205,0.6000120483510244,0.40513412841040686,3.2615112190246585,0,
