variant,description,n_estimates,r2_mean,r2_std,mae_mean,mean_mse_gain_vs_prior,estimates_improved_vs_prior,test,p_two_sided_vs_prior,delta_r2_vs_full
in_sample_prior,reverts the leakage fix: trains the head on in-sample tree predictions,25,0.8373246685320476,0.04449061071711654,0.4201525117782631,0.034040240959644384,21.0,Nadeau-Bengio corrected paired t-test,0.10833164009374777,0.03512178969983948
gbr_prior_only,"tree prior, no neural correction",25,0.8233353821024985,0.04253821458878693,0.464424321721483,,,,,0.02113250327029037
no_anisotropy_loss,removes the aspect-ratio coupling penalty,25,0.8086871797353311,0.06191475841571542,0.4497632392357817,-0.029162178655041452,9.0,Nadeau-Bengio corrected paired t-test,0.44210440621267044,0.006484300903123019
no_structural_layer,"removes the forward geometric coupling layer, keeps its loss term",25,0.8057084853099273,0.05845107803687935,0.4513153479073746,-0.0370703607133101,8.0,Nadeau-Bengio corrected paired t-test,0.36112408035647825,0.0035056064777192475
no_quantile_heads,"point residual head only, no quantile outputs or pinball loss",25,0.8045492851041913,0.051980097395851146,0.4496508000519299,-0.04064659287355377,7.0,Nadeau-Bengio corrected paired t-test,0.3392835982843998,0.002346406271983237
full,complete framework,25,0.8022028788322081,0.059079402706259464,0.4601404293798678,-0.04587419649108573,7.0,Nadeau-Bengio corrected paired t-test,0.3019503107923763,0.0
no_physics_loss,removes the non-negativity boundary penalty,25,0.8007748328968838,0.05263008801212681,0.4561951160749522,-0.050002602717771474,9.0,Nadeau-Bengio corrected paired t-test,0.25747474302296436,-0.001428045935324307
no_residual_head,correction driven solely by the quantile heads,25,0.7773627847961849,0.04866592435253535,0.4836038989137098,-0.10922327930525708,4.0,Nadeau-Bengio corrected paired t-test,0.05242996447426363,-0.024840094036023164
