repeat,fold,n_train,n_valid,dropped,r2,mse,rmse,mae,max_error,negative_predictions
1,0,792,198,mlp,0.9122178092748238,0.17891709224906233,0.4229859244100947,0.3045306971895663,1.7888261205814975,0
1,0,792,198,pinn,0.9031528573058615,0.19739321860528208,0.4442895661674738,0.31958336411530414,1.6929545644388475,0
1,1,792,198,rf,0.8804664094271971,0.2833724281257772,0.5323273693187089,0.3505554171706814,2.8715198669180753,0
1,1,792,198,gbr,0.8786739070898634,0.2876218256157825,0.5363038556786465,0.34843944760485757,2.942730502877811,1
1,1,792,198,svr,0.8802091713169,0.28398224991371196,0.5328998497970439,0.34915244559778463,2.8918556255017376,0
1,1,792,198,mlp,0.8821964895145289,0.27927101200625815,0.5284609843746823,0.35591691373069223,2.810587845581404,1
1,1,792,198,pinn,0.8765240616640286,0.2927183588621659,0.5410345264973077,0.3547345706438516,2.9124439370823456,0
1,2,792,198,rf,0.847955372731741,0.36732168835222645,0.6060706958369019,0.3904309644463099,3.877614821227234,0
1,2,792,198,gbr,0.8477690952327481,0.3677717125764391,0.6064418459971567,0.3776292022892568,4.030019954211268,0
1,2,792,198,svr,0.8491353609537583,0.36447097751992347,0.6037143178026536,0.3836208061281173,3.9281505883666794,0
1,2,792,198,mlp,0.8447564742464754,0.37504984562806387,0.6124131331283351,0.3969654422129006,3.8971633955670875,0
1,2,792,198,pinn,0.8493834702495668,0.3638715750479671,0.6032176846280015,0.37881070343947837,3.8747073304585236,0
1,3,792,198,rf,0.9119472602065052,0.24306399544720675,0.4930152081297358,0.36540443047892557,2.0384558554423524,0
1,3,792,198,gbr,0.9088199779722179,0.2516966594226788,0.501693790496433,0.36249468375856736,2.260832573228381,0
1,3,792,198,svr,0.9111691722097809,0.24521185794117176,0.49518870942416665,0.362823737755754,2.1166012332639337,0
1,3,792,198,mlp,0.9138072991581602,0.23792947606328968,0.4877801513625679,0.35956833925107884,2.183661957275384,0
1,3,792,198,pinn,0.9079732837349197,0.2540339050861585,0.5040177626692918,0.37240816681355554,2.0419451700907985,0
1,4,792,198,rf,0.8880152289433719,0.2595532800563045,0.509463718096102,0.3419644077024673,2.1562111669233213,0
1,4,792,198,gbr,0.8867083810175148,0.2625822335692733,0.5124277837600858,0.33548904442818783,2.3014061253428135,0
1,4,792,198,svr,0.8879824025796891,0.25962936352985017,0.5095383827837213,0.34192670176115875,2.158600807304164,0
1,4,792,198,mlp,0.8875889366060385,0.2605413213173951,0.5104324845828242,0.3461960583622905,2.162428510979021,0
1,4,792,198,pinn,0.8820328091855405,0.27341906427113827,0.5228948883582036,0.3518331012516532,2.195421044155183,0
2,0,792,198,rf,0.9148665118995234,0.23835735946860245,0.4882185570711159,0.3467466301292464,1.8383453835908754,0
