tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
full,0,4,792,198,gbr,0.7530683308048676,0.45345466556936675,0.6733904258076192,0.488082132404136,2.6424054300845885,0
full,0,4,792,198,svr,0.696439174515777,0.5574460054013302,0.7466230678202557,0.5442305951858786,2.3489386188509425,0
full,0,4,792,198,mlp,0.8337356155977451,0.3053207434711144,0.5525583620497606,0.3774216180371515,2.6699700508117674,0
full,0,4,792,198,pinn,0.798659618601858,0.36973279130250547,0.6080565691631868,0.43597360406138674,2.5258185272216798,0
full,0,4,792,198,stack_ridge,0.8344932979512935,0.30392936828073913,0.5512978943191594,0.3842653613835643,2.4193739417299645,0
full,0,4,792,198,stack_nnls,0.8361208874678081,0.3009405331009465,0.5485804709438229,0.38056483978762357,2.515349918076579,0
full,1,0,792,198,prior_xgb,0.8904956589945732,0.22319103817628477,0.47243098773925146,0.3368159394011353,2.235839912414551,0
full,1,0,792,198,prior_gbr,0.8904006881154681,0.22338460720660228,0.47263580821453033,0.35077120274205825,1.8910872299765384,0
full,1,0,792,198,prior_rf,0.874139986075938,0.2565270647234062,0.5064850093767892,0.3751155980180691,2.008382708333347,0
full,1,0,792,198,rf,0.8768168444179771,0.2510711093984848,0.5010699645742945,0.37036207070707067,2.2858799999999984,0
full,1,0,792,198,gbr,0.8689008143459783,0.26720551059009184,0.516919249583619,0.3819131595946228,2.29485813362083,0
full,1,0,792,198,svr,0.8220736875079195,0.3626482570404901,0.6022028371242452,0.4409187148826877,2.7333370376273294,0
full,1,0,792,198,mlp,0.8927497451562779,0.218596774369476,0.46754333956273614,0.3395003080289773,2.0561610879898073,1
full,1,0,792,198,pinn,0.8939451487334249,0.21616031054554538,0.4649304362434722,0.3369398515561614,2.2224094095230105,1
full,1,0,792,198,stack_ridge,0.9064614901767915,0.1906495845298947,0.4366343831283729,0.3145368845948417,1.5984278576667714,0
full,1,0,792,198,stack_nnls,0.9073061472998705,0.18892800985557512,0.43465849796774375,0.3125331103307847,1.5371394741129483,0
full,1,1,792,198,prior_xgb,0.8537199208403099,0.3467790185108323,0.5888794600857058,0.40840646987340673,2.8935192012786866,0
full,1,1,792,198,prior_gbr,0.8604353477047451,0.3308590849812104,0.5752035161412092,0.4175928246153677,2.7935589712195283,0
full,1,1,792,198,prior_rf,0.8128945947936823,0.44356161924609055,0.66600421863986,0.46680021833783925,2.9580129856299973,0
full,1,1,792,198,rf,0.8061794695104959,0.45948083783181826,0.6778501588343977,0.47262247474747476,2.8771299999999997,0
full,1,1,792,198,gbr,0.8173174652812478,0.4330765368241421,0.6580855087480214,0.4825272751551463,2.6792116863581508,0
full,1,1,792,198,svr,0.7874682201642915,0.5038386801344924,0.7098159480699855,0.48920364930483945,3.096970342388241,0
full,1,1,792,198,mlp,0.8552081771530688,0.34325088216857824,0.5858761662404252,0.3881819461144582,2.965027370452881,1
full,1,1,792,198,pinn,0.871968869966858,0.3035171286943117,0.5509238864800761,0.35855055462170127,2.7497884788513183,0
full,1,1,792,198,stack_ridge,0.8751659117183723,0.29593805841285525,0.5440018919202904,0.366647248161146,2.813902426340362,0
full,1,1,792,198,stack_nnls,0.8759273968406587,0.29413284293283903,0.5423401542692916,0.3637044641673108,2.881998780255165,0
full,1,2,792,198,prior_xgb,0.8474040559639033,0.3686536039195009,0.6071685136101023,0.40288078525812937,3.0059083824157717,0
full,1,2,792,198,prior_gbr,0.8330121236004393,0.40342279629005096,0.6351557260153221,0.4320530463202248,2.821424669538292,0
full,1,2,792,198,prior_rf,0.8224925903325842,0.42883673422426327,0.6548562698976496,0.4561182343983432,3.324408214285711,0
full,1,2,792,198,rf,0.822674437431347,0.4283974133186866,0.6545207508694332,0.4549889393939392,3.271,0
full,1,2,792,198,gbr,0.8068137773847961,0.4667148766276716,0.6831653362310413,0.4878075015473143,2.9230789953313394,0
