fold,gbr_mse,hybrid_gbr_mse
0,0.5724902532021089,0.5505841896950544
1,0.6420989154802023,0.6169573295434085
2,0.5821742881494812,0.5557822945586596
3,0.8943875904810036,0.8979212947414521
4,0.6119673152205453,0.5995579389941064
