repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
0,0,792,198,0.7440531437790993,0.6070589545302386,0.779139881234582,0.5267115542551485,3.669656269073486,6,full
0,1,792,198,0.8604288978416439,0.36063494068230284,0.6005288841365608,0.41920252058241103,3.7253022823333737,3,full
0,2,792,198,0.7969960904299276,0.47127183319209165,0.6864924130622942,0.44667365289216093,3.9973529701232913,1,full
0,3,792,198,0.8556817751844935,0.40607500774304284,0.6372401491926281,0.4494815971032538,3.2694349670410157,2,full
0,4,792,198,0.7406189542042529,0.47631616373758173,0.6901566226137237,0.4893422278406645,2.961482063293457,1,full
1,5,792,198,0.8265170611066179,0.35359180176763977,0.5946358564429493,0.42898388194315357,1.9666611137390135,4,full
1,6,792,198,0.8413264755863092,0.376159552113486,0.6133184752748657,0.4180825046288847,3.23821834564209,2,full
1,7,792,198,0.7819892841355157,0.5266878920287738,0.725732658786122,0.4732477986740343,3.377968612670898,1,full
1,8,792,198,0.9025179601993809,0.2690929792059985,0.5187417268795701,0.39545289759443275,1.8835386734008788,1,full
1,9,792,198,0.8285886859415751,0.39728945626122475,0.6303090164841566,0.41674328707685376,2.4443072624206543,1,full
2,10,792,198,0.8520419394853812,0.41425405446488206,0.6436257099160055,0.4681739330195417,2.236910989761353,4,full
2,11,792,198,0.8275761320927462,0.4297047839491673,0.6555187136529111,0.4589242425446558,2.3821368408203125,0,full
2,12,792,198,0.7847838575791725,0.45801433892642834,0.6767675663966384,0.42838464505985535,3.483637702941895,2,full
2,13,792,198,0.8365016209631932,0.45941526849109854,0.6778017914487232,0.4297969263057516,3.6639685020446775,2,full
2,14,792,198,0.6589072520983397,0.5823811770291372,0.7631390286370742,0.4982199293676048,3.476345832824707,4,full
3,15,792,198,0.7846812804789267,0.4450161267911651,0.6670952906378257,0.45051562484827895,3.01329182434082,3,full
3,16,792,198,0.8167542155901428,0.5116469621955048,0.7152950175944921,0.4879460181298882,3.05305184173584,4,full
3,17,792,198,0.8421554712637989,0.4285806836330023,0.6546607393398525,0.46569420908677456,2.9085522079467774,6,full
