Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Au2Se2Br2,0.054,-0.128,No,p2_1/m11,Rectangular (op),1.271,4.99,-17.162,25.963,3.024,ABC,0
AuTlBrI3,0.008,-0.318,No,pm11,Rectangular (op),1.275,3.902,-13.553,37.045,2.712,ABCD3,0
W2Mo2Te8,0.011,-0.207,No,pm2m,Rectangular (op),1.279,3.617,-73.497,43.646,4.791,ABC4,
Ag4Se4Cl4,0.067,-0.237,No,p2_1/b11,Rectangular (op),1.279,3.903,-35.277,51.982,1.643,ABC,0
Pd4As4Se4,0.045,-0.326,No,p2/b11,Rectangular (op),1.283,4.659,-51.772,36.61,2.334,ABC,0
Au4F8,0.014,-0.92,No,p2/b11,Rectangular (op),1.286,2.589,-36.258,43.72,1.214,AB2,0
Cu2Cl2O4,0.034,-0.296,No,p2_122,Rectangular (op),1.287,2.81,-33.79,29.849,2.029,ABC2,0
Sb2As2,0.088,0.088,No,pm2_1n,Rectangular (op),1.289,1.929,-17.788,23.944,2.65,AB,0
PbGeSeS,0.074,-0.359,No,pm11,Rectangular (op),1.303,2.763,-17.27,17.682,3.199,ABCD,0
Sr4Sb4Te8Cl4,0.078,-1.087,No,p2_1/b11,Rectangular (op),1.303,12.496,-78.846,44.222,3.534,ABCD2,0
Cu2S2,0.127,-0.086,No,p2/m11,Rectangular (op),1.311,2.357,-15.851,18.144,2.386,AB,
Cr4O10,0,-1.626,No,pmmn,Rectangular (op),1.321,4.873,-111.637,33.91,1.534,A2B5,0
As4,0.042,0.042,No,pman,Rectangular (op),1.324,2.399,-18.485,17.592,3.103,A,
Rb2Ru2N2S2Cl10,0.023,-0.71,Yes,p2_1/m11,Rectangular (op),1.324,9.759,-76.232,44.157,1.999,ABCDE5,1.993
WMo3Te8,0.005,-0.254,No,pm2m,Rectangular (op),1.326,3.614,-73.783,43.652,4.769,AB3C8,
Sb4Te6,0.093,-0.032,No,pm2_1n,Rectangular (op),1.327,3.448,-37.169,63.683,1.568,A2B3,0
Fe2S4,0.148,-0.383,No,p2_1/m11,Rectangular (op),1.331,2.951,-36.692,17.184,3.963,AB2,
Ta2Ir2S8,0,-0.84,No,p2_1/m11,Rectangular (op),1.331,3.345,-80.883,39.62,2.181,ABC4,0
CrW3Se8,0.01,-0.557,No,pm2m,Rectangular (op),1.333,3.391,-78.41,37.7,4.575,AB3C8,
Ge4Sb8,0.051,0.051,No,pm2_1b,Rectangular (op),1.333,6.657,-52.697,47.369,2.087,AB2,0
Hf2Br4,0,-1.163,No,p2_1/m11,Rectangular (op),1.334,4.172,-28.33,22.114,3.855,AB2,0
Cu4Te4Cl4,0.004,-0.339,No,p2_1/b11,Rectangular (op),1.339,3.848,-38.734,49.683,1.713,ABC,0
Au2I2Se4,0.042,-0.025,No,p2_111,Rectangular (op),1.341,3.698,-23.35,46.411,2.713,ABC2,
Au4S4I4,0.065,0,No,p2_1/b11,Rectangular (op),1.343,4.627,-34.752,50.259,1.913,ABC,0
Sn2Se2,0.043,-0.389,No,pm2_1n,Rectangular (op),1.345,2.759,-16.633,18.898,3.394,AB,
Au2Te4I2,0.064,-0.058,No,p2_111,Rectangular (op),1.351,3.571,-22.502,50.67,2.833,ABC2,
CrMo3O8,0.089,-1.907,No,pm2m,Rectangular (op),1.351,2.449,-106.895,26.784,3.868,AB3C8,0
Ga2Se2Br2,0.162,-0.582,No,pmmn,Rectangular (op),1.352,5.648,-19.433,19.923,3.399,ABC,
Pd4I4Br4,0.068,-0.246,No,pb2_1a,Rectangular (op),1.352,5.113,-30.489,62.99,2.585,ABC,0
Mn2Sb2Br2Se4,0.087,-0.376,Yes,pm2_1b,Rectangular (op),1.366,4.039,-49.105,45.055,1.622,ABCD2,9.986
Tl2In2Te2,0.063,-0.184,No,pm2_1n,Rectangular (op),1.366,3.983,-18.036,33.495,2.883,ABC,0
Os2Te4,0.071,0,No,p2_1/m11,Rectangular (op),1.379,3.621,-35.201,23.771,4.486,AB2,
Re2As2Se2,0.088,-0.142,No,pm2_1n,Rectangular (op),1.379,3.448,-40.46,18.143,4.718,ABC,0
Sb2P2,0.17,0.17,No,pm2_1n,Rectangular (op),1.379,2.024,-18.863,22.139,2.697,AB,0
Sr4Bi4F4S8,0.008,-1.823,No,p2_1/b11,Rectangular (op),1.381,11.125,-100.833,33.263,3.419,ABCD2,0
Os2S4,0.081,-0.3,No,p2_1/m11,Rectangular (op),1.387,3.093,-40.491,19.501,4.231,AB2,
Bi2S2I2,0,-0.426,No,pmmn,Rectangular (op),1.389,7.026,-23.02,23.694,3.855,ABC,
Os2Se4,0,-0.173,No,p2_1/m11,Rectangular (op),1.389,3.331,-37.353,21.126,4.272,AB2,
Ga2Se2I2,0.161,-0.413,No,pmmn,Rectangular (op),1.39,6.124,-18.209,20.659,3.728,ABC,
Co2O2F2,0,-1.454,No,pmmn,Rectangular (op),1.39,4.164,-38.601,10.743,3.438,ABC,0
Ga2Al2Te6,0.036,-0.355,No,pm2_1n,Rectangular (op),1.391,7.931,-36.063,28.165,2.789,ABC3,0
Ba4As4Te8F4,0.052,-1.525,No,p2_1/b11,Rectangular (op),1.409,12.483,-88.457,41.358,3.63,ABCD2,0
Ba4Sb4Te8Cl4,0.063,-1.146,No,p2_1/b11,Rectangular (op),1.411,11.822,-80.645,49.347,3.407,ABCD2,0
Cu2Sb2S4,0.063,-0.207,No,pm2_1b,Rectangular (op),1.411,5.23,-34.136,23.421,2.098,ABC2,
Hf2Br2Cl2,0.032,-1.323,No,pm11,Rectangular (op),1.413,4.026,-29.688,21.204,3.728,ABC,0
Cu4Se4Br4,0,-0.261,No,p2_1/b11,Rectangular (op),1.419,4.351,-38.109,44.476,1.799,ABC,0
Pd4Te4P4,0.076,-0.323,No,p2/b11,Rectangular (op),1.419,4.62,-53.437,37.421,2.405,ABC,0
Na2Ru2N2S2Cl10,0.062,-0.641,Yes,p2_111,Rectangular (op),1.428,9.46,-75.792,42.759,1.863,ABCDE5,1.995
Au2I2S4,0.056,0.007,No,p2_122,Rectangular (op),1.43,3.581,-25.475,43.932,2.626,ABC2,0
Rh2Te2I2,0.002,-0.413,No,p2_1/m11,Rectangular (op),1.432,3.141,-26.137,27.49,2.041,ABC,0
CrMo3Se8,0.01,-0.642,No,pm2m,Rectangular (op),1.432,3.38,-78.582,37.631,4.503,AB3C8,
HfGeS2Br2,0.063,-1.037,No,pmm2,Rectangular (op),1.434,6.122,-29.568,19.309,3.719,ABC2D2,0
Ir2S2F2,0,-0.92,No,pmmn,Rectangular (op),1.437,4.731,-35.4,15.775,3.704,ABC,0
Sc2Te2Cl2,0.026,-1.621,No,pmmn,Rectangular (op),1.441,5.484,-29.023,22.793,3.365,ABC,0
W2Cr2S8,0.014,-0.759,No,pm2m,Rectangular (op),1.442,3.096,-83.52,33.89,4.443,ABC4,
Ti2S6,0,-0.991,No,pmmn,Rectangular (op),1.452,5.693,-45.778,17.199,4.85,AB3,
Cu4Se4Cl4,0.003,-0.351,No,p2_1/b11,Rectangular (op),1.454,3.993,-39.985,43.915,1.737,ABC,0
Pd2I4,0.036,-0.218,No,p2_1/b11,Rectangular (op),1.472,2.936,-14.861,34.003,2.955,AB2,0
Hf2Cl4,0.044,-1.503,No,p2_1/m11,Rectangular (op),1.475,3.881,-31.169,20.199,3.914,AB2,0
Ga8Te12,0,-0.33,No,p2_1/b11,Rectangular (op),1.48,4.578,-68.294,93.64,1.769,A2B3,0
Ge2Te2,0.096,-0.004,No,pmmn,Rectangular (op),1.483,2.391,-15.455,24.021,2.668,AB,0
Au4Se4I4,0,-0.09,No,p2_1/b11,Rectangular (op),1.484,4.699,-33.443,53.288,1.918,ABC,0
Rb2Os2N2S2Cl10,0,-0.725,Yes,p2_1/m11,Rectangular (op),1.486,10.054,-79.955,45.72,1.999,ABCDE5,1.989
Ga2S2I2,0.132,-0.465,No,pmmn,Rectangular (op),1.487,6.105,-19.709,18.895,3.806,ABC,
Tl2O2F2,0.076,-1.231,No,pmmn,Rectangular (op),1.488,4.929,-25.805,15.183,3.192,ABC,0
SnS2Br2,0.086,-0.393,No,p2/m11,Rectangular (op),1.49,4.923,-17.345,19.224,3.283,AB2C2,0
Mn2SeCl3,0.075,-0.838,Yes,pm11,Rectangular (op),1.494,2.975,-33.298,23.982,3.005,AB2C3,9
Au2Cd2Te2I2,0.088,-0.295,No,pm2_1b,Rectangular (op),1.501,4.464,-19.843,36.134,1.708,ABCD,0
Pd4As4S4,0.038,-0.343,No,p2/b11,Rectangular (op),1.501,4.447,-54.364,34.772,2.324,ABC,0
Au2Br2Se4,0.072,-0.064,No,p2_111,Rectangular (op),1.503,3.197,-23.876,46.555,2.449,ABC2,
Ni4As4S4,0.094,-0.256,No,p2/b11,Rectangular (op),1.507,4.282,-67.023,31.649,2.266,ABC,0
P4,0.039,0.039,No,pman,Rectangular (op),1.511,2.11,-21.301,15.312,3.233,A,
Bi2SeSCl2,0.029,-0.645,No,pm11,Rectangular (op),1.515,6.236,-24.35,24.023,3.479,ABC2D2,0
Sn2SeS,0.044,-0.4,No,pm11,Rectangular (op),1.522,2.806,-17.275,18.379,3.199,ABC2,0
Cr2S2F2,0.066,-1.564,Yes,pmmn,Rectangular (op),1.523,4.524,-39.528,15.408,3.158,ABC,6
Cu4S4Br4,0.032,-0.232,No,p2_1/b11,Rectangular (op),1.528,4.32,-40.139,41.86,1.778,ABC,0
Al4Te6,0.047,-0.404,No,pm2_1n,Rectangular (op),1.529,7.997,-38.223,28.076,2.791,A2B3,0
Tl4Se2,0.016,-0.335,No,pmmn,Rectangular (op),1.538,3.602,-18.968,31.972,2.825,AB2,0
Pd2I2Br2,0.028,-0.286,No,pb11,Rectangular (op),1.541,2.791,-15.484,32.512,2.783,ABC,0
Cs2Os2N2S2Cl10,0,-0.744,Yes,p2_1/m11,Rectangular (op),1.544,10.037,-80.144,47.862,2.088,ABCDE5,1.994
HfTi3Se8,0.144,-1.042,No,p211,Rectangular (op),1.544,3.335,-67.937,43.492,3.987,AB3C8,
Ga4Se6,0.068,-0.526,No,pm2_1n,Rectangular (op),1.545,7.377,-37.766,24.45,2.677,A2B3,0
Cr2S2I2,0,-0.619,Yes,pmmn,Rectangular (op),1.548,6.014,-33.645,17.507,4.056,ABC,6
Cu4S4Cl4,0.03,-0.328,No,p2_1/b11,Rectangular (op),1.55,3.979,-42.094,41.39,1.715,ABC,0
Ag2S2,0.12,0.063,No,p2/m11,Rectangular (op),1.557,2.441,-13.582,21.78,2.343,AB,
K2Ru2N2O2Cl10,0,-0.864,Yes,p2_1/m11,Rectangular (op),1.558,9.805,-81.724,42.835,1.969,ABCDE5,1.986
Ge2Se2,0.063,-0.205,No,pm2_1n,Rectangular (op),1.559,2.605,-16.818,16.981,3.311,AB,
Au2Se2,0.007,-0.116,No,p2/m11,Rectangular (op),1.561,2.592,-13.688,23.606,2.455,AB,
ZrTi3Se8,0.138,-1.052,No,p211,Rectangular (op),1.563,3.343,-67.964,43.63,3.972,AB3C8,
Tl2S3,0.066,-0.145,No,p211,Rectangular (op),1.564,4.633,-17.955,19.552,2.969,A2B3,0
Ni2Te2S6,0.063,-0.118,No,p2_1/m11,Rectangular (op),1.567,5.223,-46.55,26.943,2.33,ABC3,0
Ba4As4Te8Cl4,0.067,-1.089,No,p2_1/b11,Rectangular (op),1.577,11.966,-80.52,48.909,3.316,ABCD2,0
Bi2H2S4,0.006,-0.292,No,p2_1/m11,Rectangular (op),1.581,7.062,-34.642,23.365,3.279,ABC2,0
Ru2S4,0.167,-0.402,No,p2_1/m11,Rectangular (op),1.583,3.086,-37.649,19.231,3.932,AB2,
In8Te12,0.005,-0.313,No,p2_1/b11,Rectangular (op),1.585,5.145,-66.821,103.041,1.826,A2B3,0
Au2Cl2Se4,0.079,-0.113,No,p2_111,Rectangular (op),1.586,3.418,-24.664,41.225,2.588,ABC2,0
Au2Te4Cl2,0.128,-0.158,No,p2_111,Rectangular (op),1.589,3.017,-23.917,49.09,2.579,ABC2,
HfGeS2Cl2,0.095,-1.163,No,pm11,Rectangular (op),1.594,5.791,-30.727,18.938,3.704,ABC2D2,0
Ru2Se4,0.076,-0.343,No,p2_1/m11,Rectangular (op),1.595,3.321,-34.918,20.827,4.01,AB2,
Mn2N2Cl2,0.119,-0.467,Yes,pmmn,Rectangular (op),1.607,5.119,-42.512,11.951,3.831,ABC,5.994
Hf2Ti2Se8,0.16,-1.08,No,pm2a,Rectangular (op),1.61,3.419,-69.214,44.701,3.99,ABC4,
Au2Br2S4,0.041,-0.039,No,p2_122,Rectangular (op),1.611,3.069,-26.05,43.984,2.356,ABC2,0
Hf2Sn2Se8,0.044,-0.804,No,pm2_1n,Rectangular (op),1.614,7.189,-60.637,42.151,2.136,ABC4,0
As4Te6,0.062,0.046,No,pm2_1n,Rectangular (op),1.616,3.242,-37.426,58.983,1.504,A2B3,0
Sc2Te2Br2,0.012,-1.464,No,pmmn,Rectangular (op),1.617,5.884,-27.685,23.238,3.447,ABC,0
Ba4Bi4F4Se8,0.031,-1.785,No,p2_1/b11,Rectangular (op),1.618,11.829,-95.924,38.766,3.613,ABCD2,0
Mn2Sb2Cl2S4,0.084,-0.496,Yes,pm2_1b,Rectangular (op),1.619,3.821,-53.088,41.397,1.578,ABCD2,9.994
TiGeS2I2,0.068,-0.768,No,pm11,Rectangular (op),1.621,3.418,-26.928,26.694,3.301,ABC2D2,0
Bi2S2Br2,0.01,-0.556,No,pmmn,Rectangular (op),1.621,6.601,-24.007,23.132,3.59,ABC,
Au2Te4Br2,0.085,-0.11,No,p2_111,Rectangular (op),1.621,3.249,-23.131,49.955,2.629,ABC2,
PdAuSeCl,0.071,-0.264,No,pm11,Rectangular (op),1.623,3.043,-13.275,18.967,2.705,ABCD,0
Mn2Sb2Br2S4,0.096,-0.419,Yes,pm2_1b,Rectangular (op),1.63,4.177,-51.913,41.92,1.611,ABCD2,9.995
Ge4Sb4Te4,0.073,0.004,No,p2_122,Rectangular (op),1.636,3.7,-48.464,62.608,1.74,ABC,0
Zr2Sn2Se8,0.012,-0.851,No,pm2_1n,Rectangular (op),1.636,7.193,-60.991,42.275,2.123,ABC4,0
Ta2O2I4,0,-1.348,No,pmmm,Rectangular (op),1.637,4.649,-46.581,29.415,2.103,ABC2,
Ag4F8,0.017,-1.229,No,p2/b11,Rectangular (op),1.637,2.025,-38.801,45.952,1.023,AB2,0
Na2Nb2I12,0.019,-0.648,No,p2_111,Rectangular (op),1.641,10.949,-51.374,59.11,2.16,ABC6,0
TiHf3Se8,0.168,-1.127,No,pm11,Rectangular (op),1.643,3.406,-70.591,45.783,4.031,AB3C8,
Au2Br6,0,-0.138,No,pb11,Rectangular (op),1.643,2.776,-16.872,54.215,2.014,AB3,0
Rb2Ru2N2O2Cl10,0,-0.876,Yes,p2_1/m11,Rectangular (op),1.645,9.75,-81.318,44.238,1.986,ABCDE5,1.992
Cu4S4F4,0.047,-0.832,No,p2_1/b11,Rectangular (op),1.646,2.621,-47.351,39.541,1.407,ABC,0
Bi2S2Cl2,0.019,-0.649,No,pmmn,Rectangular (op),1.658,6.263,-24.97,22.828,3.538,ABC,
Rh2S2I2,0.049,-0.387,No,p2_1/m11,Rectangular (op),1.665,3.216,-27.729,24.052,2.009,ABC,0
Zr2Ti2Se8,0.147,-1.102,No,pm2a,Rectangular (op),1.67,3.437,-69.277,44.976,3.961,ABC4,
In4Te4I4,0.036,-0.415,No,pb2_1a,Rectangular (op),1.67,5.921,-34.763,65.333,3.038,ABC,0
Ir2Te2I2,0.024,-0.212,No,p2_1/m11,Rectangular (op),1.671,3.015,-29.191,27.792,2.11,ABC,0
Au4Te4I4,0,-0.16,No,p2_1/b11,Rectangular (op),1.672,4.787,-33.168,58.169,1.943,ABC,
Sn2Te2,0.104,-0.174,No,pmmn,Rectangular (op),1.674,2.333,-15.22,27.243,2.663,AB,0
Au2Br2S4,0.036,-0.043,No,p2_111,Rectangular (op),1.677,3.53,-26.089,40.581,2.583,ABC2,0
Co4O4Br4,0.17,-0.588,No,p2_1/b11,Rectangular (op),1.678,3.314,-66.806,32.795,1.762,ABC,
Li2Nb2I12,0.028,-0.628,No,p2_111,Rectangular (op),1.686,11.021,-52.227,57.283,2.186,ABC6,0
ZrHf3Se8,0.169,-1.188,No,pm11,Rectangular (op),1.692,3.428,-72.042,46.979,4.05,AB3C8,
Au4Cu4Se4,0,-0.13,No,pbma,Rectangular (op),1.693,4.022,-42.721,36.973,3.766,ABC,0
Na2Os2N2S2Cl10,0,-0.657,Yes,p2_111,Rectangular (op),1.7,9.312,-79.539,44.543,1.846,ABCDE5,1.996
Ta2O2Br4,0,-1.659,No,pmmm,Rectangular (op),1.7,4.249,-49.492,27.283,1.835,ABC2,0
Ta2O2Cl4,0,-1.903,No,pmmm,Rectangular (op),1.702,3.93,-52.244,26.007,1.794,ABC2,0
Ni2Te4,0.176,-0.065,No,p2_1/b11,Rectangular (op),1.703,1.56,-27.702,37.027,2.731,AB2,
Au6I6,0.029,-0.069,No,pm2a,Rectangular (op),1.703,5.074,-28.483,59.585,2.952,AB,0
Hf2Zr2Se8,0.161,-1.2,No,pm2a,Rectangular (op),1.715,3.465,-72.086,47.157,4.025,ABC4,
K2Nb2I12,0.009,-0.714,No,p2_111,Rectangular (op),1.716,11.463,-52.259,63.536,2.114,ABC6,0
Cu2Te3As4I2,0.04,-0.052,No,pm11,Rectangular (op),1.718,4.693,-39.151,54.693,1.614,A2B2C3D4,0
Rb2K2O2,0.028,-0.954,No,p2_1/m11,Rectangular (op),1.718,2.686,-20.233,30.493,1.364,ABC,0
Zr2S4,0.066,-1.52,No,pmmn,Rectangular (op),1.719,2.868,-40.236,23.773,3.623,AB2,0
Rh2Se2I2,0,-0.401,No,p2_1/m11,Rectangular (op),1.725,3.16,-26.625,25.446,2.007,ABC,0
Ge4As8,0.006,-0.047,No,pm2_1b,Rectangular (op),1.729,6.049,-55.927,40.117,1.981,AB2,0
WMo3O8,0.012,-1.999,No,pm2m,Rectangular (op),1.731,2.459,-110.075,27.654,3.999,AB3C8,0
In4Se6,0.002,-0.531,No,pm2_1n,Rectangular (op),1.731,7.669,-37.263,27.928,2.729,A2B3,0
Pt2Te2S6,0.091,-0.153,No,p2_1/m11,Rectangular (op),1.731,5.33,-45.114,29.788,2.323,ABC3,0
Bi8O4Se8,0.067,-0.624,No,p2_1/m11,Rectangular (op),1.736,3.899,-98.239,94.403,1.613,AB2C2,0
Au2Cl2Se4,0.071,-0.121,No,p2_111,Rectangular (op),1.737,3.11,-24.726,43.782,2.517,ABC2,0
Cu4Te2O12,0.088,-0.581,No,p2_1/b11,Rectangular (op),1.738,2.805,-93.071,49.238,1.53,AB2C6,
Pt2I4,0.041,-0.127,No,p2_1/b11,Rectangular (op),1.742,2.843,-19.383,35.084,2.999,AB2,0
Pd2Te4,0.093,-0.257,No,p2_1/b11,Rectangular (op),1.743,1.684,-21.999,39.464,2.763,AB2,
In2Se2Cl2,0.058,-0.757,No,pmmn,Rectangular (op),1.747,5.629,-20.605,21.821,3.421,ABC,
MoW3Se8,0,-0.625,No,pm2m,Rectangular (op),1.749,3.352,-81.015,38.187,4.661,AB3C8,
Ir2S2I2,0.078,-0.226,No,p2_1/m11,Rectangular (op),1.749,3.135,-31.022,24.317,2.092,ABC,0
W2Mo2Se8,0,-0.653,No,pm2m,Rectangular (op),1.749,3.347,-81.079,38.189,4.635,ABC4,
Rb2Os2N2O2Cl10,0,-0.896,Yes,p2_1/m11,Rectangular (op),1.751,9.807,-85.129,45.017,2.027,ABCDE5,1.989
Sc2Te2I2,0,-1.261,No,pmmn,Rectangular (op),1.751,6.395,-26.254,23.951,3.76,ABC,0
TiZr3Se8,0.147,-1.162,No,pm11,Rectangular (op),1.753,3.453,-70.7,46.235,3.979,AB3C8,
Ta2I2O4,0,-2.186,No,pmma,Rectangular (op),1.755,7.388,-60.574,14.804,3.027,ABC2,0
Hf2Ge2Se8,0.022,-0.785,No,pm2_1n,Rectangular (op),1.759,6.993,-61.327,39.295,2.167,ABC4,0
Ge2SeS,0.053,-0.222,No,pm11,Rectangular (op),1.766,2.504,-17.481,16.569,3.155,ABC2,0
Cd4Br4,0.068,-0.609,No,p2/b11,Rectangular (op),1.771,5.375,-14.923,29.019,3.827,AB,0
Rb2K2O2,0.07,-0.913,No,pmm2,Rectangular (op),1.772,2.659,-19.983,29.116,1.51,ABC,0
Zr2Ge2Se8,0,-0.828,No,pm2_1n,Rectangular (op),1.776,7.019,-61.63,39.51,2.15,ABC4,0
Ga2SeSICl,0.025,-0.713,No,pm11,Rectangular (op),1.777,5.782,-20.908,23.995,3.023,ABCDE2,0
Tl2O2Br2,0,-0.641,No,pmmn,Rectangular (op),1.778,6.195,-22.259,16.247,3.795,ABC,
Rb2Au2S2,0.096,-0.691,No,pmma,Rectangular (op),1.778,4.262,-20.381,28.207,2.246,ABC,0
WMo3Se8,0,-0.681,No,pm2m,Rectangular (op),1.785,3.342,-81.13,38.186,4.609,AB3C8,
Zr2Si2Se8,0.094,-0.815,No,pm2_1n,Rectangular (op),1.787,6.951,-63.241,38.354,2.165,ABC4,0
PdS2,0.062,-0.234,No,p2/m11,Rectangular (op),1.791,1.471,-12.679,15.076,2.602,AB2,0
Ag4Te2O12,0.084,-0.386,No,p2_1/b11,Rectangular (op),1.801,2.837,-86.205,54.372,1.533,AB2C6,0
Rb2C2Se2H6S6,0.064,-0.268,No,p2_111,Rectangular (op),1.809,8.95,-76.458,43.719,1.45,ABCD3E3,0
Cu2I2S4,0,-0.13,No,p2_122,Rectangular (op),1.818,3.556,-27.658,37.521,2.795,ABC2,
Pd2Te2S6,0.056,-0.137,No,p2_1/m11,Rectangular (op),1.818,5.309,-39.891,29.183,2.308,ABC3,0
In2S2I2,0.013,-0.549,No,pm2_1n,Rectangular (op),1.828,6.923,-19.932,23.051,2.196,ABC,0
Bi2O2I2,0.116,-0.881,No,pmmn,Rectangular (op),1.829,7.017,-27.842,17.829,4.453,ABC,
Pt4S3Se5,0,-0.407,No,pm11,Rectangular (op),1.829,2.738,-59.949,46.844,3.635,A3B4C5,0
K2Os2C2O2F10,0.013,-1.952,No,p2_1/m11,Rectangular (op),1.831,10.567,-104.508,27.492,2.132,ABCDE5,0
In2IBrSe2,0.049,-0.584,No,pmm2,Rectangular (op),1.833,6.223,-19.058,22.723,3.618,ABC2D2,0
Ge4Te4P4,0.065,-0.002,No,p2_122,Rectangular (op),1.835,4.086,-52.364,52.877,1.778,ABC,0
Ga2O2I2,0.131,-1.104,No,pmmn,Rectangular (op),1.838,5.9,-25.635,13.903,4.208,ABC,
W2Mo2O8,0.005,-2.01,No,pm2m,Rectangular (op),1.84,2.462,-110.488,27.728,4.031,ABC4,0
Nb2O2I4,0,-1.358,No,pm2m,Rectangular (op),1.845,4.596,-47.682,30.086,2.049,ABC2,
Te2H2P2S10,0.059,-0.044,No,p2_111,Rectangular (op),1.848,6.262,-65.268,44.134,2.157,ABCD5,0
VOI2,0,-1.14,Yes,pm2m,Rectangular (op),1.849,3.825,-21.164,15.219,1.916,ABC2,1
Ir2Se2I2,0.045,-0.211,No,p2_1/m11,Rectangular (op),1.857,3.048,-29.738,25.764,2.08,ABC,0
Tl4S2,0.034,-0.317,No,pmmn,Rectangular (op),1.858,3.509,-20.053,29.603,2.903,AB2,0
In2Se2I2,0.012,-0.547,No,pm2_1n,Rectangular (op),1.858,6.67,-18.729,25.147,2.148,ABC,0
Cu2Te3As4Br2,0.045,-0.11,No,pm11,Rectangular (op),1.858,4.461,-40.001,54.346,1.498,A2B2C3D4,0
Au4Te4Br4,0,-0.251,No,p2_1/b11,Rectangular (op),1.86,4.349,-34.689,56.926,1.772,ABC,0
Cu2Tl2S2,0.034,-0.234,No,p2_1/m11,Rectangular (op),1.863,3.68,-21.909,24.475,2.797,ABC,0
Ag2Tl2S2,0.022,-0.192,No,pm2_1n,Rectangular (op),1.865,5.796,-19.981,17.468,3.665,ABC,0
Ir2Te2Br2,0.028,-0.29,No,p2_1/m11,Rectangular (op),1.869,2.809,-29.869,26.395,1.968,ABC,0
Ge4As4Te4,0.033,-0.034,No,p2_122,Rectangular (op),1.871,3.938,-49.942,56.366,1.74,ABC,0
MnGaO2Cl2,0.016,-1.43,Yes,pm11,Rectangular (op),1.873,5.247,-35.016,12.74,3.843,ABC2D2,4
Li4As4S8,0.018,-0.61,No,p2_1/b11,Rectangular (op),1.873,7.996,-68.593,29.367,2.89,ABC2,0
In2S2F2,0.086,-1.404,No,pmmn,Rectangular (op),1.873,4.539,-25.278,18.783,3.034,ABC,0
Ag2Hg2Se2I2,0.023,-0.234,No,pm2_1b,Rectangular (op),1.88,4.793,-19.245,34.758,1.633,ABCD,0
Li4As4S8,0.02,-0.608,No,pb2_1a,Rectangular (op),1.883,8.03,-68.571,29.373,2.843,ABC2,0
In2Se2Br2,0.05,-0.657,No,pmmn,Rectangular (op),1.887,5.983,-19.604,22.318,3.459,ABC,
Ag2Te4I2,0.01,-0.125,No,p2_111,Rectangular (op),1.889,3.871,-22.454,49.217,2.87,ABC2,
ScInSeSI2,0.074,-1.045,No,pmm2,Rectangular (op),1.894,6.371,-24.212,21.587,3.763,ABCDE2,0
In2Se2I2,0.053,-0.506,No,pmmn,Rectangular (op),1.903,6.459,-18.482,23.077,3.736,ABC,
Ni4I8,0.039,-0.091,No,p2_1/b11,Rectangular (op),1.905,5.764,-41.909,57.562,1.643,AB2,0
In2H2Se4,0,-0.336,No,p2_1/m11,Rectangular (op),1.907,6.411,-28.791,22.632,3.436,ABC2,0
Ni4S4Cl4,0.082,-0.388,Yes,p2_1/b11,Rectangular (op),1.909,2.949,-57.1,40.352,1.729,ABC,3.999
Au2Cl2S4,0.04,-0.094,No,p2_111,Rectangular (op),1.913,3.309,-26.896,39.567,2.538,ABC2,0
K4O2,0.095,-0.951,No,pmmn,Rectangular (op),1.917,2.506,-20.83,28.279,1.362,AB2,0
Ag2Hg2Te2I2,0.016,-0.219,No,pm2_1b,Rectangular (op),1.923,4.616,-18.572,37.485,1.63,ABCD,0
Nb2O2Br4,0,-1.66,No,pm2m,Rectangular (op),1.923,4.2,-50.516,27.885,1.814,ABC2,
Au4Te4Cl4,0.001,-0.319,No,p2_1/b11,Rectangular (op),1.924,3.99,-36.311,56.278,1.717,ABC,0
Na2Ta2I12,0.012,-0.666,No,p2_111,Rectangular (op),1.931,10.919,-50.645,59.941,2.154,ABC6,0
Zr2Sn2S8,0.043,-0.954,No,pm2_1n,Rectangular (op),1.937,6.993,-66.997,39.728,2.029,ABC4,0
Si4Te8,0,-0.05,No,p2_1/b11,Rectangular (op),1.94,3.711,-47.837,62.268,1.719,AB2,0
Ga2S2I2,0.008,-0.589,No,pm2_1n,Rectangular (op),1.947,6.519,-20.454,20.737,2.132,ABC,0
Nb2O2Cl4,0,-1.898,No,pm2m,Rectangular (op),1.951,3.886,-53.226,26.564,1.772,ABC2,0
Zr2Ge2S8,0.026,-0.94,No,pm2_1n,Rectangular (op),1.954,6.758,-67.74,36.827,2.056,ABC4,0
Si4Se8,0.064,-0.387,No,pm2_1b,Rectangular (op),1.956,6.92,-54.099,43.876,3,AB2,0
MoW3O8,0,-2.018,No,pm2m,Rectangular (op),1.961,2.47,-110.869,27.786,4.062,AB3C8,0
Li2Ta2I12,0.021,-0.646,No,p2_111,Rectangular (op),1.962,10.997,-51.484,57.71,2.194,ABC6,0
Pd4P4Se4,0.002,-0.406,No,p2/b11,Rectangular (op),1.963,4.414,-55.541,34.555,2.348,ABC,
